SaleID,SaleDate,Brand,Model,Price,EngineCC,FuelType,Transmission,BuyerGender,City,UnitsSold,Revenue,SaleYear
SAL103626,2022-02-16,Maruti Suzuki,Ertiga,301000.0,1198.0,Diesel,Automatic,Male,Ahmedabad,5.0,1505000.0,2022
SAL103310,2022-09-21,Kia,Sonet,2029000.0,1498.0,CNG,Manual,Male,Chennai,1.0,2029000.0,2022
SAL101142,2021-07-24,Toyota,Glanza,2598000.0,1198.0,Petrol,Manual,Male,Kolkata,1.0,2598000.0,2021
SAL101767,2024-02-17,Tata,Nano,966000.0,1198.0,Diesel,Manual,Female,Ahmedabad,4.0,3864000.0,2024
SAL102645,2024-06-28,Skoda,Rapid,1592000.0,800.0,Electric,Manual,Female,Delhi,1.0,1592000.0,2024
SAL103756,2020-07-01,Hyundai,Verna,622000.0,1197.0,Petrol,Manual,Male,Kolkata,1.0,622000.0,2020
SAL103087,2020-02-12,Kia,Sonet,826000.0,1998.0,Petrol,Manual,Male,Ahmedabad,5.0,4130000.0,2020
SAL103852,2024-12-28,Mahindra,Thar,1803000.0,800.0,Electric,Automatic,Female,Delhi,6.0,10818000.0,2024
SAL100602,2021-08-02,Skoda,Kushaq,1189000.0,1497.0,Diesel,Manual,Male,Pune,5.0,5945000.0,2021
SAL101533,2020-08-07,Toyota,Fortuner,1463000.0,1498.0,Petrol,Manual,Male,Pune,1.0,1463000.0,2020
SAL101707,2022-06-22,Renault,Triber,494000.0,999.0,Petrol,Manual,Male,Jaipur,1.0,494000.0,2022
SAL100250,2020-03-11,Mahindra,Bolero,1230000.0,2500.0,CNG,Automatic,Female,Bengaluru,1.0,1230000.0,2020
SAL103216,2021-02-27,Renault,Kiger,449000.0,1197.0,Petrol,Manual,Female,Bengaluru,2.0,898000.0,2021
SAL102914,2025-06-28,Skoda,Kushaq,1293000.0,2200.0,Petrol,Manual,Male,Chennai,4.0,5172000.0,2025
SAL103795,2023-07-21,Kia,EV6,1920000.0,2500.0,Electric,Manual,Male,Lucknow,3.0,5760000.0,2023
SAL102927,2020-05-10,Tata,Altroz,1679000.0,800.0,CNG,Manual,Male,Lucknow,6.0,10074000.0,2020
SAL101522,2020-04-09,Kia,Sonet,1398000.0,800.0,Diesel,Automatic,Male,Mumbai,2.0,2796000.0,2020
SAL100883,2023-01-23,Honda,WR-V,815000.0,1998.0,Petrol,Manual,Male,Delhi,3.0,2445000.0,2023
SAL102622,2025-04-16,MG,Gloster,2085000.0,1198.0,Petrol,Automatic,Male,Bengaluru,4.0,8340000.0,2025
SAL103416,2020-11-07,Hyundai,Venue,775000.0,1497.0,Hybrid,Manual,Male,Delhi,1.0,775000.0,2020
SAL100623,2020-12-28,Renault,Kwid,736000.0,1198.0,Petrol,Automatic,Female,Delhi,6.0,4416000.0,2020
SAL102693,2021-05-11,Honda,City,1211000.0,1198.0,Diesel,Manual,Male,Pune,1.0,1211000.0,2021
SAL100198,2021-03-16,Skoda,Rapid,2752000.0,1998.0,Petrol,Manual,Male,Hyderabad,3.0,8256000.0,2021
SAL103625,2021-03-18,MG,Hector,1658000.0,1498.0,CNG,Manual,Male,Kolkata,1.0,1658000.0,2021
SAL103657,2020-06-26,Honda,WR-V,1262000.0,1197.0,Petrol,Manual,Female,Pune,3.0,3786000.0,2020
SAL103947,2022-08-15,Tata,Altroz,1143000.0,800.0,Petrol,Manual,Male,Delhi,4.0,4572000.0,2022
SAL100915,2023-08-21,Tata,Tigor,911000.0,1998.0,Diesel,Cvt,Male,Pune,2.0,1822000.0,2023
SAL103622,2023-09-12,Renault,Kwid,496000.0,2200.0,Diesel,Automatic,Male,Lucknow,4.0,1984000.0,2023
SAL100528,2024-05-06,Hyundai,Verna,468000.0,1198.0,Petrol,Manual,Male,Lucknow,3.0,1404000.0,2024
SAL103414,2020-12-05,Renault,Kiger,1005000.0,1498.0,Petrol,Manual,Female,Delhi,5.0,5025000.0,2020
SAL101231,2025-06-11,Mahindra,Scorpio,1114000.0,1198.0,Petrol,Automatic,Male,Hyderabad,2.0,2228000.0,2025
SAL101008,2023-08-03,Honda,WR-V,975000.0,800.0,Petrol,Manual,Male,Pune,2.0,1950000.0,2023
SAL101793,2021-09-06,Renault,Kiger,912000.0,1998.0,Petrol,Automatic,Male,Bengaluru,3.0,2736000.0,2021
SAL100240,2020-06-10,Mahindra,XUV700,2393000.0,999.0,Petrol,Automatic,Female,Jaipur,2.0,4786000.0,2020
SAL100439,2020-10-22,Kia,EV6,938000.0,1197.0,Petrol,Automatic,Male,Delhi,1.0,938000.0,2020
SAL103186,2021-01-13,Toyota,Urban Cruiser,1699000.0,1497.0,Diesel,Cvt,Female,Kolkata,5.0,8495000.0,2021
SAL101371,2022-05-08,Skoda,Rapid,1198000.0,999.0,Hybrid,Automatic,Male,Pune,4.0,4792000.0,2022
SAL103167,2025-08-23,Renault,Kwid,395000.0,2200.0,Petrol,Manual,Male,Kolkata,3.0,1185000.0,2025
